case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,14,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,15,answer_position,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,15,number_tokens,26.625,23.125,24.125,1.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,15,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,16,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,16,number_tokens,26.625,23.125,24.625,1.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,16,random_positions,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,17,answer_position,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,17,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,17,random_positions,26.625,23.125,22.5,-0.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,18,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,18,number_tokens,26.625,23.125,22.25,-0.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,18,random_positions,26.625,23.125,22.5,-0.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,19,answer_position,26.625,23.125,24.25,1.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,19,number_tokens,26.625,23.125,21.75,-1.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,19,random_positions,26.625,23.125,22.0,-1.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,20,answer_position,26.625,23.125,24.0,0.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,20,number_tokens,26.625,23.125,22.75,-0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,20,random_positions,26.625,23.125,22.25,-0.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,21,answer_position,26.625,23.125,25.625,2.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,21,number_tokens,26.625,23.125,22.75,-0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,21,random_positions,26.625,23.125,22.75,-0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,22,answer_position,26.625,23.125,25.5,2.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,22,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,22,random_positions,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,23,answer_position,26.625,23.125,25.25,2.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,23,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,23,random_positions,26.625,23.125,22.75,-0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,24,answer_position,26.625,23.125,26.375,3.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,24,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,24,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,25,answer_position,26.625,23.125,26.25,3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,25,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,25,random_positions,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,26,answer_position,26.625,23.125,26.375,3.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,26,number_tokens,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,26,random_positions,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,27,answer_position,26.625,23.125,26.25,3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,27,number_tokens,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,27,random_positions,26.625,23.125,23.5,0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,28,answer_position,26.625,23.125,26.5,3.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,28,number_tokens,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,28,random_positions,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,29,answer_position,26.625,23.125,26.25,3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,29,number_tokens,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,29,random_positions,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,30,answer_position,26.625,23.125,26.25,3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,30,number_tokens,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,30,random_positions,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,31,answer_position,26.625,23.125,26.375,3.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,31,number_tokens,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,31,random_positions,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,32,answer_position,26.625,23.125,26.375,3.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
