case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,17,number_tokens,8.75,4.5,6.6875,2.1875,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,17,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,18,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,18,number_tokens,8.75,4.5,6.125,1.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,18,random_positions,8.75,4.5,5.125,0.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,19,answer_position,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,19,number_tokens,8.75,4.5,6.5625,2.0625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,19,random_positions,8.75,4.5,5.0,0.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,20,answer_position,8.75,4.5,5.0,0.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,20,number_tokens,8.75,4.5,5.75,1.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,20,random_positions,8.75,4.5,4.875,0.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,21,answer_position,8.75,4.5,5.5,1.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,21,number_tokens,8.75,4.5,5.375,0.875,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,21,random_positions,8.75,4.5,5.25,0.75,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,22,answer_position,8.75,4.5,6.125,1.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,22,number_tokens,8.75,4.5,5.125,0.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,22,random_positions,8.75,4.5,4.75,0.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,23,answer_position,8.75,4.5,6.9375,2.4375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,23,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,23,random_positions,8.75,4.5,4.75,0.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,24,answer_position,8.75,4.5,7.0,2.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,24,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,24,random_positions,8.75,4.5,4.875,0.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,25,answer_position,8.75,4.5,7.375,2.875,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,25,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,25,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,26,answer_position,8.75,4.5,7.875,3.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,26,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,26,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,27,answer_position,8.75,4.5,7.8125,3.3125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,27,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,27,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,28,answer_position,8.75,4.5,7.875,3.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,28,number_tokens,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,28,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,29,answer_position,8.75,4.5,7.875,3.375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,29,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,29,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
