id,case,template,whole,digit,zeros,control,layer,model,revision,hard_margin,patched_margin,margin_effect,hard_correct,patched_correct,patched_token_count
causal-gen-005,5,relation_statements,106,5,1,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,-10.0625,-8.8125,False,False,5
causal-gen-005,5,relation_statements,106,5,1,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,2.75,4.0,False,True,6
causal-gen-005,5,relation_statements,106,5,1,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,-1.5,-0.25,False,False,5
causal-gen-005,5,relation_statements,106,5,1,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,-1.5,-0.25,False,False,6
causal-gen-005,5,relation_statements,106,5,1,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,-1.25,0.0,False,False,5
causal-gen-006,6,relation_statements,107,6,1,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,7.25,7.875,False,True,6
causal-gen-006,6,relation_statements,107,6,1,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-0.5,0.125,False,False,5
causal-gen-006,6,relation_statements,107,6,1,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-0.625,0.0,False,False,6
causal-gen-006,6,relation_statements,107,6,1,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-9.6875,-9.0625,False,False,5
causal-gen-006,6,relation_statements,107,6,1,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-0.625,0.0,False,False,6
causal-gen-006,6,relation_statements,107,6,1,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-0.625,0.0,False,False,5
causal-gen-006,6,relation_statements,107,6,1,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-0.75,-0.125,False,False,6
causal-gen-006,6,relation_statements,107,6,1,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-0.625,-0.5,0.125,False,False,5
causal-gen-007,7,relation_statements,108,7,1,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,6.4375,9.4375,False,True,6
causal-gen-007,7,relation_statements,108,7,1,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-1.25,1.75,False,False,5
causal-gen-007,7,relation_statements,108,7,1,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-3.0,0.0,False,False,6
causal-gen-007,7,relation_statements,108,7,1,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-8.8125,-5.8125,False,False,5
causal-gen-007,7,relation_statements,108,7,1,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-3.125,-0.125,False,False,6
causal-gen-007,7,relation_statements,108,7,1,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-3.125,-0.125,False,False,5
causal-gen-007,7,relation_statements,108,7,1,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-3.125,-0.125,False,False,6
causal-gen-007,7,relation_statements,108,7,1,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.0,-3.375,-0.375,False,False,5
causal-gen-008,8,relation_statements,109,8,1,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,5.0,9.5,False,True,6
causal-gen-008,8,relation_statements,109,8,1,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-3.625,0.875,False,False,5
causal-gen-008,8,relation_statements,109,8,1,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-4.5,0.0,False,False,6
causal-gen-008,8,relation_statements,109,8,1,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-10.75,-6.25,False,False,5
causal-gen-008,8,relation_statements,109,8,1,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-5.0,-0.5,False,False,6
causal-gen-008,8,relation_statements,109,8,1,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-4.375,0.125,False,False,5
causal-gen-008,8,relation_statements,109,8,1,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-4.375,0.125,False,False,6
causal-gen-008,8,relation_statements,109,8,1,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.5,-4.5,0.0,False,False,5
causal-gen-009,9,relation_statements,110,9,1,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-3.0,4.0625,False,False,6
causal-gen-009,9,relation_statements,110,9,1,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-5.75,1.3125,False,False,5
causal-gen-009,9,relation_statements,110,9,1,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-7.0625,0.0,False,False,6
causal-gen-009,9,relation_statements,110,9,1,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-10.9375,-3.875,False,False,5
causal-gen-009,9,relation_statements,110,9,1,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-7.0625,0.0,False,False,6
causal-gen-009,9,relation_statements,110,9,1,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-7.0625,0.0,False,False,5
causal-gen-009,9,relation_statements,110,9,1,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-7.1875,-0.125,False,False,6
causal-gen-009,9,relation_statements,110,9,1,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-7.0625,-7.0625,0.0,False,False,5
causal-gen-010,10,relation_statements,111,0,2,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,8.5,0.375,True,True,7
causal-gen-010,10,relation_statements,111,0,2,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,9.875,1.75,True,True,5
causal-gen-010,10,relation_statements,111,0,2,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,8.125,0.0,True,True,7
causal-gen-010,10,relation_statements,111,0,2,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,-6.5,-14.625,True,False,5
causal-gen-010,10,relation_statements,111,0,2,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,8.0,-0.125,True,True,7
causal-gen-010,10,relation_statements,111,0,2,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,8.4375,0.3125,True,True,5
causal-gen-010,10,relation_statements,111,0,2,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,7.5,-0.625,True,True,7
causal-gen-010,10,relation_statements,111,0,2,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,8.125,8.0,-0.125,True,True,5
causal-gen-011,11,relation_statements,112,1,2,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,4.375,8.125,False,True,7
causal-gen-011,11,relation_statements,112,1,2,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,0.0,3.75,False,False,5
causal-gen-011,11,relation_statements,112,1,2,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,-3.75,0.0,False,False,7
causal-gen-011,11,relation_statements,112,1,2,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,-7.0,-3.25,False,False,5
causal-gen-011,11,relation_statements,112,1,2,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,-3.875,-0.125,False,False,7
causal-gen-011,11,relation_statements,112,1,2,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,-2.75,1.0,False,False,5
causal-gen-011,11,relation_statements,112,1,2,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,-3.875,-0.125,False,False,7
causal-gen-011,11,relation_statements,112,1,2,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-3.75,-3.75,0.0,False,False,5
